인물,대사
순재,뭐? 저런 개념 없는 토끼새끼가 있어! 저거 당장 밖에 다 갖다버려!
민용,글쎄 버리라 그러시면 전 풀어놓는다니까요. 
순재,이 자식이 이거 너 진짜 이리와! 
윤호,짜짜잔~~ 여기 좀 보세요~
윤호,제가 이번엔 뭘 잡아왔을까요?
순재,야 이 자식아 저 토끼나 빨리 갖다 내버려 빨리!!
윤호, 어 어. 왜 그러세요 이쁜 토끼를~ 
윤호,어? 뱀이 어디갔지?
순재,뭐?
윤호,뱀 잡아왔는데?!!  클났다 뱀 없어졌다!!!
순재,뭐?!!
해미,가실 시간 다 되지 않으셨어요?
도우미,네. 이거만 마저 하구요.
문희, 냉장고 청소는 다 하고 가야지.
해미,네.  어떠셨어요? 편하시죠?
문희,그래.. 편하다..
해미,진작 이렇게 할껄. 얼마나 좋아요. 어머님도 편하시고 저도 맘 편하고.
해미,수고하셨어요.
도우미,감사합니다.
해미,모레 다시 오셨으면 하는데.
도우미,네. 사무실에 연락해주세요. 그럼. 
해미,안녕히 가세요.
도우미,안녕히 계세요 사모님.
문희,수고했어요.
해미,수고하셨어요.
해미,아 피곤해. 어머님 저 잠깐 눈 좀 붙여도 되죠?
문희,그래. 그래라.
문희, 이봐요! 애기엄마!!
도우미,사모님.
문희,이거 챙겨줄라고 그랬는데 틈이 없어서. 좀 가져가요.
도우미,이게 뭐예요?
문희,반찬 몇개 쌌어. 아까 이거 맛있다 그러길래. 
도우미,안 그러셔도 되는데.
문희,저기 그리고 이거..  너무 일을 많이 시켜서 미안해서.
도우미,아닌데요 사모님. 정해진 대로 한 거 뿐인데.
문희,넣어둬요. 내가 맘이 편칠 않아서 그래. 
문희, 저기..
도우미,네?
문희,저기..내가 너무 쉴 틈도 없이 막 시키고 그런거 야속하게 생각하지 마요. 미안해요..
도우미,어유 무슨요. 당연한걸..
문희,그럼 가..얼릉 가요 집에..너무 고생했어요. 
해미,어머님 저녁..  뭐하세요?
문희,어? 아니..
해미,아까 거기 아줌마한테 청소하라고 시키시지 않았어요?
문희,했어. 했는데 나 반지가 떨어져서 좀 찾느라고.
해미,네에. 저녁 차릴께요. 
문희,그래.  생전 상전으로 살아봤어야 사람을 부리지.. 그래 내 손이 편하다 내 손이..
민용,없는데? 너 뻥치는거 아니야? 한겨울에 무슨 뱀이 있어?
윤호,아니야 분명히 꿈틀거렸어!
민호,요새는 겨울에도 날이 따뜻해서 다시 깨는 뱀들도 있다던데.
순재,이 자식이 이 자식이! 이게 기어이 사고를 쳐!! 방에 가만히 쳐박혀 있지 왜 싸돌아다녀 왜! 
윤호,아 아 아!!
순재,여기가 살모사가 많아서 별칭이 살모골인데! 어쩔거야 이 자식아 이거!
민용,벨트예요 벨트. 오바하시긴.
순재,이게 사람 놀래게!  일어나 임마! 뱀이나 잡어 빨리!!
순재,야 쟤 좀 깨워! 저러다 뱀에 물려!
민용,깨우라 그러시면 자장가 불러줘야지. 잘 자라 우리 형..
순재,미친 놈 저거!  이거 뱀을 불러내야 될 거 같은데 이거 어떡해?
민호, 할아버지 이거 어떠세요? 뱀은 말이죠..
순재,아 시끄러 이게 아까부터 진짜! 저리 안 가?!!
민호,아니 이거 한번 보세요 여기 피리가 있는데요 뱀은 피리소리 좋아하거든요?
순재, 피리?
민호,피리 사실래요? 이거 진짜 싼건데. 피리는 제가 들고 왔거든요?
순재,내놔봐. 
민호, 먼저 돈을 주셨으면 좋겠는데. 3만원인데요..
순재,아 지금 돈이 중요해? 내놔봐 얼른!!
민호,안돼요 이거 한번 쓰면 환불 안된단 말예요. 돈 안주시면 제가 다 때워야 돼요.
순재,이 자식이 진짜~  야 쟤한테 돈 3만원 줘!
민용,돈 3만원을 주라고요? 그럼 받아야겠네. 민호야 돈 3만원만 줘.
순재,이 자식이 이거! 진짜! 
민용,아야~
순재, 자 됐어?
민호,여기요! 
순재,돈에 환장한 놈 이거!  이딴 것들을 식구들이라고 끌고온 내가 빙신이지 내가.
일동, 왜 그러세요~ / 아버지가 먼저 시작하셨잖아요~ / 아파요~ / 뭐야.. 음냐음냐..
순재,시끄러! 다들 조용히 해! 
윤호,어 저깄다! 
순재, 박수도 치지 마 이 나쁜 자식들아!!
민용,치지마요? 그럼 더 쳐야지. 아버지 최고. 
윤호,할아버지 짱이다 저랑 진짜 멧돼지 잡으러 안 가실래요? 
민호,할아버지 또 들어올지 모르니까 덫 좀 놓으시죠? 덫 별로 안 비싼데. 
할머니1,병원이 없어진 거야? 왜 이름이 바뀌었어?
할머니2,그러게 여기가 원래 옛날부터 이순재 한약방 자리였는데.
할머니1,그럼 이순재 그 양반네는 망한건가?
할머니2,여기 이씨 이름도 있는거 보니까 이름만 바뀐거 아니야?
여배우1, 신지씨.
신지,어~ 
민용,잘 봤다.
신지,언제 왔어? 지금꺼 본거야?
민용,응.
신지, 어땠어..?
민용,너무 쪼끔 나와서 비평을 할 수가 없는데.
신지,뭐가 쪼끔나와~ 제법 나왔는데. 또 잤지?
민용, 사실 너 삑사리 낼까봐 조마조마해서 못보겠더라.
신지,그래서 잘했다는거야 못했다는거야?
민용,내용 자체는 재밌더라.
신지,하 정말 끝까지 칭찬은 안해요.  근데 뭐 아무것도 없냐? 꽃다발도 없이 오는 사람은 처음 보네.
민용,꽃 있어.  여기예요. 
민정,신지야~~ 
신지, 아.. 같이 왔구나..?
민정, 축하해. 너무너무 재밌더라. 너 노래도 춤도 너무너무 잘하고 너무너무 멋있었어~~
신지,고맙다~
민정,진짜 짱~ 짱이예요~
신지,차라도 한잔 하고 가. 여기까지 왔는데. 나 금방 끝나.
민정,그래~ 밖에서 기다릴께~~
여배우1,에이~ 난 남자친군 줄 알았더니 아닌가봐.
신지,남자친구요?  남자친구인 적도 있었고 남편인 적도 있었는데. 지금은 룸메이트 남자친구네요.
여배우1,응? 뭐가 그래?
신지,좀 특이하죠..? 
신지,민정이는?
민용,잠깐 화장실 갔어.
신지,사실 오빠한테는 밥을 한번 사야 되는데. 언제 날 잡어.
민용,밥? 왜?
신지,뭐가 왜야. 짤린 사람 구제해 줬는데 고마운 것도 모를 까봐.
민용,그거야 형수한테 사야지. 형수가 힘써준건데.
신지, 형님한테 밥 사라구?
민용,그럼 내가 사리? 니가 사야지.
신지,그렇지..내가 사야지.. 
민용,만나기 싫구만?
신지,알잖아.
민용,나야 알지.. 근데 인사를 안 하기도 그렇지 않냐?
신지,그렇지..인사를 하긴 해야겠지... 알았어.
순재,저게 뭐야?
순재,아니 누가 병원 앞에서 이딴걸.. 이봐요! 
준하,아버지~ 
순재,어? 저게 저게...야 임마 거기서 뭐하는 거야?
준하,이거 되게 재밌어요~ 한번 해보세요~
순재,이 자식이 이게 미쳤나 다 늙은게 애들하고 섞여서. 빨리 내려와!
장수,네? 아 진료시간 아니면 괜찮다고 여기 원장님이 말씀 하셔서.
순재,원장? 이 병원 원장이 누군데? 나요 나. 이 사람이..
준하, 아버지 영업 끝났는데 뭐 어때요?  아버지 저 보세요~ 
순재,얼씨구 얼씨구 참 놀고 있네. 얼굴 팔리지도 않냐?
준하,히히~
순재, 한심한 놈.
순재,여보세요?
경화, 순재 오빠. 저 경화예요.
순재, 어..그래...왠일이냐..?
민정,야 아까 너 딱 무대에 들어오는데 내가 막 짜릿짜릿한 거 있지~
신지,첫날은 진짜 정신이 아득했는데 삼일째 되니까 객석이 좀 보이더라.
민정,너 진짜 재밌을 거 같애~~ 직접 보니까 멋지더라.
신지,멋지나마나 겉만 번드르르하지 돈은 정말 개코도 안되고.. 먹고 살 생각하면 갑갑하다 진짜.
민정,그래.
신지,야 너도 같이 나갈래? 나 둘이 앉아서 밥 먹는 거 너무 싫은데.
민정,내가 거기 껴서 무슨 말을 해?
신지,하 참.. 
순재,"얘 참, 니가 저 밑에 장사해도 된다고 허락했냐?"
해미,네?  아 트렘플린이요? 네 진료시간 끝나고 하게 해달라고 부탁하길래.
순재,거 뭐하러. 애들만 꼬이고 시끄럽게.
해미,주말까지만 한다는데요 뭘. 놔두세요.
순재,쯧쯧.. 
해미,아버님 어디 가세요?
순재,어? 어..
해미,어디요?
순재,잠깐.. 
해미,어~?  왠일이야~ 나한테 전활 다 하고~
신지, 안녕하셨어요.
해미,응. 뮤지컬 잘 되가는 거 같던데. 관객 많다며 축하해.
신지,네 뭐..  다 형님 덕분이죠 뭐.
해미,응?  야 준이 엄마 달라졌네. 인사치레도 할 줄 알고~
신지, 에..? 하..
해미,근데 왜 무슨 일이야?
신지,아니 저기..저번에 도와주신 것도 있고해서..저녁이라도 제가 살까 하구요.
해미,저녁? 음~ 뭘 저녁까지?
신지,아니 그래도.  정 뭐 시간이 없으시면 할 수 없지만..
해미, 오케이~
신지,네?
해미,난 사준다는데 사양하는 성격은 아니지. 언제가 좋아? 어디서?
신지,형님께서 날짜 잡으시면 제가 적당한데..
해미, 오케이. 그럼 내가 날짜 장소 생각해서 다시 연락해줄게. 저녁 공연이니까 점심이 좋겠네? 그치?
신지,네? 네.
해미,오케이. 연락할께.
신지,네 그럼. 
민정,뭐래?
신지,아.. 왜 또 자기가 장소를 정한다 그러지? 걱정되네. 엄청 비싼데 가는거 아니야?
민정,설마 얻어먹는 건데..
신지,아니야.. 엄청 비싼 데 갈 거 같애 어째.. 느낌이 그래.. 
해미,서방님. 준이엄마가 저한테 저녁을 사겠다 그러네요.
민용,네.
해미,근데 뭘 먹죠? 비싼거 먹자 그러면 준이엄마 주머니 사정에 많이 부담 될까요?
민용, 뭘 얼마나 비싼걸 드실려구.
해미," 준이엄마한테 얻어먹는 일이 자주 올 거 같지도 않고, 이번 기회에 아주 비~싼 거 먹고 싶은데요 왠지~~"
해미,제가 뭘 먹을려고 저러나 궁금하시죠?
민용,궁금하네요.
해미,모르셔도 됩니다~ 
민용, 저..하 씨 또 말렸어.. 
경화,갑자기 다 저녁때 전화를 해서..미안해요.
순재,아니야. 근데 무슨 일이 있어?
경화, 사실은.. 인사할려구.
순재,무슨 인사?
경화,저기.. 나..미국으로 이민가요.
순재,뭐..?
경화,LA 사는 아들네랑 합치기로 했어요. 혼자 지내기도 쓸쓸하고 그래서.
순재,아.. 그렇구만..  그럼 언제..
경화,이번주 일요일에 떠나요.
순재,아니 그렇게 갑자기..
경화,...
순재,거 참..진작 말하지.. 아무 도움도 못주고..
경화,도움은 무슨.. 그동안 도움 많이 받았는데.
경화, 앞으로 다시 만날 일이 있으려나..?
순재,한국에 이제 안 올려구?
경화,글쎄요. 일부러 맘먹고 올려면 오겠지만..어떻게 될지.. 오빠나 나나 멀리 기약할 수 있는 나이도 아니고.
순재,....그렇지..
경화,잘 지내세요..건강하시구.
순재,그래..
순재,경화야!!
경화,오빠..!
순재, 건강해라 응? 건강해야 돼. 우리 꼭 다시 만나자 응?
경화,오빠.!!! 
순재,경화야..!
순재, 잘 가라..
택시,안 타십니까?
경화,네.  그럼 갈께요.
순재,그..그래.
해미,야밤에 왠 파전이예요?
문희,얘가 비 오니까 먹고 싶다 그래서. 너도 먹어.
준하,엄청 맛있어 여보.
해미,으으음. 살쪄.  한장만 먹고 그만. 오케이? 
해미, 오케이~~
해미,어머님. 여보. 고기 드시고 싶으시죠?
해미,고기 한번 실컷 드셔보실래요?
신지,네.. 형님. 네.. 날짜 정하셨어요..?
해미,"응 근데 그보다 말이야, 어머님이랑 민호아빠랑 같이 나갈까하는데 어때?"
신지,네?
해미,어머님이 그동안 준이 보느라고 얼마나 고생하셨어. 사실 턱을 내려면 나보단 어머님한테 내야지.
신지,네.. 아.. 네 그렇죠..
해미,그리구 민호아빠도 같이 축하해주고 싶다 그러는데. 준이엄마랑은 뭐 사연이 있다 그러던데? 뭔진 모르겠지만.
준하, 어 나 꼭 축하해줘야돼~ 제수씨 엄청 축하해요~~
해미,들리지?
신지,아 네.. 네.. 
해미,그럼 우리 셋이 나가는 걸로 할께.
신지,장소는.. 그럼 어디로..
해미,한우먹자 우리.
신지,한우요..?
해미,청담동에 삼청가든이라고 있잖아. 우리 예전에 다 같이 한번 갔었는데. 기억나지?
신지, 청담동.. 삼청가든이요..?
문희, 아우 거기 너무 맛있는데~ 듣기만 해도 침 넘어간다야~
준하, 거기 등심이랑 갈비살 최고지~
신지,저기 잠깐만요.  미쳐 미쳐.
민정, 왜 그래?
신지,삼청가든이 얼마나 비싼데. 1인분에 6만원도 넘는데.. 어머님이랑 아주버님이 보통 많이 드셔...?
신지,각자 최소한 5인분 10인분은 먹는다고 치면 나랑 싹퉁 바가지가 1인분씩 먹는다고 해도 얼마야...? 
민정, 102만원인데?
민정,헤 정말 그렇게나 많이 드실까?
신지,더 하면 더 했지~  안돼 안돼 이거 안돼. 한턱내면 난 알그지돼!
해미, 뭐하는 거야..
신지, 여보세요.
해미,응? 저기 그래서 날짜는 말이야..
신지,네.
해미,"우리 셋이 다 시간 되는 날이 월, 수는 빼고거든. 그러니까 20일 어때?"
신지,20일이요?  아 어떡하죠? 그날은 저기..사촌 결혼식이라 안되는데.
해미,화요일 낮에?
신지,네 요즘은 평일날 결혼 많이 하잖아요.
해미,음..그럼 22일 목요일은 어때?
신지,목요일이요..어머 어떡하죠? 그날 친구 돌잔치가 있어서 가야 되는데.
해미,그럼 잠깐만. 
신지,하...제발 제발.. 둘은 좀 빠져라.. 
해미, 저기 준이엄마랑 시간이 안 맞는데 금요일은 어때요?
해미,금요일 다 된다는데 어때?
신지,네? 아 저기..그날은 제가 CM송 녹음이 있어서.
해미,그럼 토요일은?  토요일은요?
해미,토요일 다 좋다는데?
신지,토요일은.. 아 저기.. 초.. 초등학교 동창회요!
해미, 그럼 일요일은?  일요일은요?
해미,일요일도 다 좋다는데?
신지,일요일은 저희 뮤지컬 연습을 하루종일 해서..  아 날짜 맞추기가 힘들어서 이번 주는 안되겠네요 그럼 다음에..
해미,으으음. 말 나온김에 확실히 정해. 다음주 월요일은?  다음주 월욜일은요?
신지,그 날은 이모 생신이라..
해미,화요일은?
신지,고모부 환갑..
해미,수요일은~?
신지,외.. 외할머니 팔순잔치..!
해미,오케이~ 목요일은~?
신지,목요일은..  뭐해 뭐해!!
민정,어? 뭐.. 뭐?
해미,목요일은 다행히 스케줄 없구나. 그럼 다음주 목요일로 할까~?
해미,그럼 다음주 목요일 7시에 청담동 삼청가든에서 보자구~ 들어가~ 
민정,어떻게 됐어..? 약속 잡힌거야?
신지,난 끝났어... 난.. 
순재,이순재..이 등신 같은 놈..그깟 악수 좀 하는게 뭐가 어떻다고..사람들 눈이 무서워서..
신지, 여보세요..
민용," 야, 너 삼청가든에서 엄마랑 형한테까지 쏘기로 했다며?"
신지,어..
민용,니가 아주 골로 갈려구 작정을 했구나. 너 형 양을 몰라서 그러냐?
신지,어쩔 수가 없었어..
민용, 그러지말고 내일로 약속 바꿔.
신지,어?
민용,형 슬쩍 떠봤더니 내일 친구동생 결혼식 가야 된대더라. 내일밖에 시간없다 그러면 형은 어차피 빠질 수 밖에 없으니까
민용, 형만 빠져도 훨씬 낫지?
신지, 아주버님만 빠져주시면야.. 비싸도..
민용, 그럼 내가 너 스케줄 바껴서 낼 밖에 시간 없다고 얘기할게.
신지,고마워..  하...살았다...하... 
문희,여보 나 점심 좀 먹고 올게. 준이에미가 돈 나왔다고 밥 산다 그러네.
순재,그래..? 
문희,당신도 친구들 모임 있다 그랬잖아.
순재,어.. 나가야지.
문희,근데 왜 이렇게 힘이 없어요 어제부터?
순재,내가 뭘.
해미, 어머님~ 가요~
문희,그래.
신지,어머님. 
해미,일찍 왔네.
신지, 네.
문희,야 나한테까지 뭘 산다 그러냐. 꼭 안 먹어도 되는데.
신지,왜요. 딴 사람한텐 못 사도 어머님은 사드려야죠. 많이 드세요.
문희,어쨌든 축하한다 얘. 이왕 시작한거 성공해라.
신지, 네에..
해미,뭐가 좋을까.  등심이 젤 좋겠죠?
문희,난 다 좋아 다 좋아.
해미,그럼 등심.. 얼마나 시켜줄거야?
신지,네? 드시고 싶은 대로 드세요..
해미,어머님 양이 있으니까 일단 5인분으로 시작할까? 어머님 어떠세요?
문희,그래. 모자르면 먹고 더 먹지 뭐.
해미,오케이.  여기요~~
친구1,이원장 왔네.
친구들,어이.. / 뭐야 왜 이리 늦어.. / 야 이순재.
순재,늦어서 미안하다. 진료가 좀 늦어져서.
친구2,야 이순재 핑계는 무슨. 진료는 니 며느리가 다 하잖아.
친구2," 이 놈이 이거 진료 땜에 늦을 리는 없고, 이거 어디 가서 바람피다 온거 아니야?"
순재, 야 임마. 바람 필 능력이 되야 바람도 피지. 다 늙어서 무슨.
친구2,하긴 넌 이제 바람피고 싶어도 못 피겠다. 하두 유명해져서.
순재,뭐?
친구2,왜 저번에 생방송 나가서 전국적으로 망신당했잖아. 어디 가서 바람이라도 폈다간 사람들이 당장 알아볼껄?
친구들, 맞네~ / 하하하~
순재, 그래.. 갖고 놀아라 갖고 놀아...
친구2,"그래두 넌 말년에 복 터졌지. 우리보단 낫다. 며느리 잘 만나서 방송출연까지 하고,"
친구2,우리 아들 놈은 여자 고르는 재주도 없어요. 좌우간 남자가 지가 능력이 있거나 지가 능력없으면 쟤 아들처럼
친구들,맞어../ 그래..
순재, 이 자식이! 
친구2,아 차거!
순재,이 자식이 말이면 단 줄 알아? 이게 죽을라고 입을 함부로 놀려?! 
친구2,아~ 
순재,이 개자식이 동창이랍시고 예전부터 깝쭉거리더니 진짜! 너 죽었어 이 자식아 넌 친구도 아냐! 
친구들,순재야~ 
친구2," 어, 왜 잔 들고 있어. 자. "
순재,음...
문희,맛있다 맛있다. 역시 격이 달라.
해미,준이엄마 좀 먹어. 애는 나중에 먹이고.
신지,네. 네. 
해미,어머님 모자라시겠는데요. 더 시켜야겠죠?
문희,응? 아니 뭐.. 대충 되긴 했는데.. 
해미,어머님 더 드셔야될 거 같은데 괜찮아?
신지,네? 네. 그럼요. 더 시키세요. 
해미,여기요. 
신지, 미치겠다. 벌써 7인분이나 시켰는데.. 그럼 42만원...하.. 씨.. 너무 드시는거 아니야 정말..?
해미,여기 갈비살로 2인분만 더 주세요.
점원,네. 
신지, 갈비살? 갈비살은 4만원씩이니까.. 8만원 추가 하면.. 50만원..!!
해미,여보세요? 어.
신지, 하 그래.. 설마 여기서 더 드시진 않겠지..
해미, 청담동에 있지. 준이엄마가 고기 산다 그래서. 당신은 어디야? 어머 바로 근처네? 어 그럴래? 그래 그럼.
문희,응?
신지, 왜요? 왜 왜 왜 왜요?
해미,어? 아니 결혼식이 이 근처였나보네. 지금 끝났다고 이 쪽으로 온다는데?
문희,잘됐다. 같이 들어가면 되겠네.
신지, 어떡해 어떡해 어떡해... 어떡해 어떡해 어떡해... 
친구1,야 우리집으로 가자. 우리 마누라가 오라는데.
친구들,그럴까? / 그래..
순재,니들 가라. 나는 집에 들어가야겠다.
친구2,아 왜? 간만에 뭉쳤는데 빼기냐?
순재,감기 기운이 있나 몸이 영 그러네. 나중에 보자구. 
친구3,쟤 왜 저래 오늘..?
문희,아우 배불러. 더 이상은 못 먹겠다. 
신지, 어머님은 이제 스톱이고...아주버님이 오면 좀이라도 먹을라 그러겠지? 그래두 결혼식이면 점심먹고 오는거라
문희,어 준하야~ 여기~
준하, 안녕하세요. 개막 성공 축하해요 정말~
신지,네 고맙습니다..
문희,야 이거 좀 먹어. 난 배불러서 더 이상 못 먹겠다.
준하,오 뭐야 등심인가? 
해미,배 안 불러? 당신 거기서 점심 먹었을 꺼 아냐?
준하,못 먹었어. 식 끝나고 사진찍고 식당갔더니 하객이 너무많아서 음식 끝났대.
해미,뭐가 그래? 하객들 화났겠다.
준하,아 몰라. 아 허기져 죽겠네.  오!! 맛있다!!
문희,맛있지?
준하,와 죽이는데!! 
해미,어떡하나.. 
신지, 더... 더.. 시키세요.. 네..
해미,여기요! 
윤호,아 배고파 배고파~ 할머니~~
윤호,할머니~  어 할아버지.
순재,집에 아무도 없다.
윤호,어 정말요? 아 배고픈데.  근데 안주도 없이 술을 드세요?
윤호,저 라면 먹을건데 하나 더 끓일까요?
순재,얌마.
윤호,에?
순재,너는 일생 단 한번도 맘에 든 적 없는 놈을.. 친구랍시고 만나고...
윤호,아니요. 전 그런 친구는 안 키워요.
순재,그래?
윤호,귀찮게 뭐하러 싫은 놈을 만나요? 차라리 혼자 다니는 게 편하죠. 왜요?
순재,니가 나보다 낫구나.
윤호,네?
순재,니가 70먹은 할애비보다 낫다구. 
준하,어우 진짜 잘 먹었다. 진짜 진짜 잘먹었다.
신지,......
해미, 다 먹은 거야? 과식했지 당신?
준하,이렇게 맛있는데 과식 안할수가 있나.
해미,여기 세시까지 영업인데 이제 그만 일어나야겠어. 어머님. 일어나세요.
문희, 응? 응..
준하,잘 먹었습니다. 제수씨.  이거 꽤 많이 나올 거 같은데?
문희,아유 니 덕에 아주 포식했다. 잘 먹었어. 
신지,네.. 
점원, 14만원입니다.
신지,네?
점원,14만원이요. 카드로 계산하시겠어요?
신지, 저기..잘못 계산한거 같은데요. 우리 많이 먹었는데요..?
점원,네 총 104만원 나왔는데요. 90만원은  저분께서 이미 계산하셨거든요?
신지,네....?
문희,애비가 차 갖고 왔다는데 같이 타고 가자.
신지,아니예요. 전 극단에 가봐야되서요.
문희,아 그래? 
신지,저기..  왜..
해미,애초에 나한테 밥 산다 그런거였잖아. 내가 먹은 것만 사라구. 내가 데려온 깍두기들은 내가 책임져야지.
해미,이제 시작인데 돈 아껴. 정말 성공하면 그때 크게 한 턱 쏘라구. 오케이? 
준하,타요!
문희,얘 우리 간다. 준이야 엄마 안녕해.
신지, 여보세요.
민정,어떻게 됐어? 돈 많이 썼어?
신지,재수없어 죽겠어 정말.
민정,어?
신지,"재수는 정말 디립다 없는데.., 에이 씨.  성공하고 싶게 만드네 진짜."
민정,뭐?
신지,"나도 언젠간 저렇게 된다구, 자기만 멋진거 다 할 줄 알아? 두고보라구. "
순재, 이순재..70평생 남 시선 의식하고 체면 차리고 살아온 결과가 겨우 이거냐..? 지 이름 건 간판 하나
순재,이거보쇼.
장수,네?
순재, 나 이거 좀 타봅시다.
장수,네?
장수,조심하세요. 넘어지지 않게.
순재, 아 자유롭다..아 자유롭다.. 그래 이 자유.. 체면도 무엇도.. 다 벗은 이 자유..
장수,저기 너무 뛰시면 혈압 오르십니다. 적당히 하세요~ 네?
순재, 우악~ 아하하하하~ 
여자, 엄마!!!!!
여자,뭐야 뭐야!!! 
여자, 아아악!!!!
여자,아아아악!!!!! 
민호, 2월 15일 오후.. 요즘들어 이상할만큼 연속으로 체면을 구기시던 할아버지는
해미,"어머님 우리 올해까지만 이렇게 준비하구요, 내년부턴 웬만한건 사서 해요. 이건 아무리 생각해도 너무 비효율적이예요."
문희,"그래도 얘, 제사는 정성인데"
해미, 으으음. 모든 일에는 항상 효율을 생각해야죠. 명절만 되면 여자들만 왜 이 고생과 스트레스에 시달려야 돼요?
문희,자주도 아니고 1년에 한두번 조상님 모시는건데 뭘 그렇게
해미, 조상님도 자손들이 스트레스 팍팍 받으면서 어거지로 만들어 올리는 것보다
해미,내년부턴 그렇게 해요 어머님 오케이~?
민호, 엄마 엄마~
해미,우리 아들 왜~ 
문희, 저 싹퉁바가지.. 아는 척을 하다하다 이제는 조상님 마음까지 지가 아는척이야.
준하, 뭘 그렇게 중얼거리세요?
문희,아니다.  부침개 집어먹지 마 또 모자를라~
준하,네. 
준하,누구세요? 들어오세요. 
택배,택배 왔습니다.
준하,뭐가 이렇게 많이..
택배," 여기가 이순재씨, 박해미씨, 이민용씨, 나문희씨 댁 맞죠?"
준하,네.. 맞는데요.
택배,물건이 좀 많네요. 여기 싸인 좀 해주세요. 
윤호,뭐야 이거 다? 선물 들어온 거야?
택배, 안녕히 계세요.
순재,뭐야 다?  갖고와봐.
윤호,다 뭐지? 뭐 맛있는 거 없나? 
순재, 가만 있어봐 이 자식이. 명함 떨어지면 헷갈려서 안돼.
윤호, 빨리 뜯어봐요~ 다 뭐지?
순재,돋보기가 없네. 야 니가 좀 읽어봐.
윤호, 이건.. 한의사협회에서 온거예요. 할아버지꺼.
순재,그건?
윤호,이건..여성 한방 다이어트 연구회..엄마꺼. 이건..삼촌한테 온거구. 이건.. 흑석2동 부인회.. 나문희 여사..?
순재,얼씨구~  이거봐 나여사 앞으로 명절 선물이 다 왔네?
문희, 정말? 누구야?
윤호,흑석2동 부인회요.
문희,어머 비누셋트 보낸다더니 정말 보냈구나. 
윤호,이거는 할아버지. 이것두 할아버지. 이건 엄마..이건 삼촌..
윤호, 이제 풀어봐도 되죠?  에이 인삼... 이건 뭐야 뭔가 딴딴한데~
문희,한과 보낸 사람 없나? 한과 아직 안 샀는데.
순재,민용이 지꺼 가져가라 그래.
문희,민용아~ 민용아~
윤호, 누구세요?
택배2, 택배 왔습니다.
택배2, 여기가 박해미씨 댁이죠?
윤호, 네. 엄마 선물 또 왔어요~
문희, 어메 이건 뭐가 이렇게 크냐? 이게 뭐야?
준하,..... 
신지,민정아 나 지금 나가는데 재활용쓰레기 꼭 시간맞춰 버려.
민정, 그래서 백선생님이 치약 한통 드렸더니 교감 선생님이 뭐라 그랬는지 아세요?
민용, 몰라요.
민정,이선생님이 맞춰보세요 한번~  선물이 커도 너무 커요 이렇게 커서 내가 들고 가겠어요?
신지, 신났구나.. 
민용, 별로 안 웃긴데?
민정,안 웃겨요? 더 웃긴 얘기있어요 이거 어제 들은건데요 10반 반장이랑 부반장이 있잖아요..
민용,에..? 설마.. 
민정,어 웃었어 웃었어~ 되게 웃기죠?
민용,쪼끔 웃기네. 
민용,다시 할께요.  왜요?
해미,선물 온거 가져가라 그러시는데요.
민용,네. 내려갑니다.
해미,삼촌 얼굴에 웃음꽃이 활짝 폈네요.  오우 보기 좋다~~
민용,네..?
해미,누가 삼촌을 그렇게 웃게 만들까~? 설마 남자는 아닐테고~
민용, 하실 말씀 있으면 그냥 하시죠. 그렇게 꼬아서 하시지 말고.
해미,아니 정색하고 물으면 또 버럭 화 내실까봐. 그럼 지금 누구랑 통화했는지 물어봐도 돼요? 너무 궁금한데.
민용,됩니다.
해미,"어머, 누구예요?"
민용,사람이요.
해미, 오호 사람. 야 대답 좋네요. 오케이.  얼른 내려오세요~ 
문희,이게 어떻게 좋다는거야?
해미,전기열선으로 데우는게 아니라 온수로 돌리는거니까 전자파가 없다는거예요 어머님.
문희,아유 이거 비쌀 거 같은데 이런 걸 선물로 보내줘?
해미,협회에서 홍보차원에서 보내주는거니까요 뭐.
문희,아이구 잘 됐다. 안그래도 전기장판 안 좋다 그래서 준이 때문에 찝찝 했는데.
민용,이건 연합회에서 보낸거고.
윤호,뭔데 뭔데?
민용,넥타이네?
윤호,에이.. 
민용,지갑이랑..
윤호,지갑?! 지갑 나 줘 나~ 나 지갑 완전 낡았는데~~ 나 줘 나~
민용,가질래? 난 지갑 필요없..
민호, 지갑? 지갑 나 줘 나~ 나 지갑 사야 돼 삼촌!
윤호,아 씨 왜 끼어들어 내가 찜했어! 
민호,나 줘 삼촌 나 줘~~ 
민용,이 자식들이 왜 이래?
순재,야 퀴즈 내. 퀴즈 내서 줘.
민용,그럴까?
민호,퀴즈 좋아 퀴즈 오케이~
윤호,아 씨 뭐야 나 준다 그랬잖아~ 나 줘 나~ 내가 찜했는데 왜~ 
순재,이것들이 왜 난리야~ 니들 한테 온 선물이야? 시끄러! 
민용,야 퀴즈책 갖고와. 공정하게 이긴 사람 준다.
민용,진 사람은 이 박스 준다. 박스도 이쁘네.
윤호,아 나 그냥 줘 삼촌~ 존경하는 삼촌~ 
민호,어 삼촌 넘어가지마~ 나도 삼촌 엄청 존경해~
윤호,사랑해 삼촌~
민용, 누가 사랑하래! 아 토할 거 같아 저리 비켜~
정식, 여보세요. 어 선배님?
준하,정식이냐? 얌마 그래. 아니 뭐 그냥 잘 있나 해서 전화 했지. 새해 운수대통해라.
